phrase;rel_page;2019-01-01;2019-01-02;2019-01-03;2019-01-04;2019-01-05;2019-01-06;2019-01-07;2019-01-08;2019-01-09;2019-01-10;2019-01-11;2019-01-12;2019-01-13;2019-01-14;2019-01-15;2019-01-16;2019-01-17;2019-01-18;2019-01-19;2019-01-20;2019-01-21;2019-01-22;2019-01-23;2019-01-24;2019-01-25;2019-01-26;2019-01-27;2019-01-28;2019-01-29;2019-01-30;2019-01-31;2019-02-01;2019-02-02;2019-02-03;2019-02-04;2019-02-05;2019-02-06;2019-02-07;2019-02-08;2019-02-09;2019-02-10;2019-02-11;2019-02-12;2019-02-13;2019-02-14;2019-02-15;2019-02-16;2019-02-17;2019-02-18;2019-02-19;2019-02-20;2019-02-21;2019-02-22;2019-02-23;2019-02-24;2019-02-25;2019-02-26;2019-02-27;2019-02-28;2019-03-01;2019-03-02;2019-03-03;2019-03-04;2019-03-05;2019-03-06;2019-03-07;2019-03-08;2019-03-09;2019-03-10;2019-03-11;2019-03-12;2019-03-13;2019-03-14;2019-03-15;2019-03-16;2019-03-17;2019-03-18;2019-03-19;2019-03-20;2019-03-21;2019-03-22;2019-03-23;2019-03-24;2019-03-26;2019-03-27;2019-03-28;2019-03-29;2019-03-30;2019-03-31;2019-04-01;2019-04-02;2019-04-03;2019-04-04;2019-04-05;2019-04-06;2019-04-07;2019-04-08;2019-04-09;2019-04-10;2019-04-11;2019-04-12;2019-04-13;2019-04-14;2019-04-15
dsm mon platin косметика;https://da-vita.ru/catalog/mon-platin-dsm.html;6;6;6;6;5;5;6;6;6;6;6;5;5;5;5;5;5;5;5;6;5;5;4;4;4;4;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;6;5;4;5;5;5;5;8;6;8;8;6;8;9;8;9;7;10;11;9;5;8;10;10;8;8;7;9;9;9;12;10;11;11;11;9;10;11;9;9;11;10;7;6;6;5;5;5;5;5;6;8;5;8;11;11;8;6;6;7;10;6
health and beauty крем;https://da-vita.ru/catalog/kremi-health-and-beauty.html;23;22;24;23;27;31;30;35;34;38;39;33;45;44;40;43;17;23;35;43;52;61;41;43;51;25;18;38;18;20;23;17;20;32;21;20;25;24;24;27;23;36;33;36;13;29;17;16;28;17;24;51;41;47;56;39;39;31;40;49;25;31;33;39;34;37;44;36;37;37;38;38;35;26;29;31;31;32;43;41;43;39;42;35;25;26;36;28;32;31;35;38;62;59;39;47;55;41;54;56;51;39;50;54
health beauty коллаген крем;https://da-vita.ru/catalog/kosmetika-s-maslom-shi/collagen_day_cream.html;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;6;2;2;2;2;3;3;3;3;7;5;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;2;2;2;2;2;2;2;4;2;2;2;4;7;6;7;6;3;4;3;6;6;7;7;8;8;8;7;8;8;8;10;10;8;9;10;9;9;9;9;8;8;9
kedem косметика;https://da-vita.ru/catalog/kedem---100-naturalnaya-kosmetika.html;2;2;3;2;2;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;2;3;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;2;2;2;2;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
kedem косметика купить;https://da-vita.ru/catalog/kedem---100-naturalnaya-kosmetika.html;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;2;1;1
kedem косметика отзывы;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
kreogen израиль косметика;https://da-vita.ru/catalog/kreogen.html;6;6;6;6;6;6;6;6;5;5;5;5;5;4;4;5;4;6;6;5;6;4;6;6;4;4;4;6;4;6;4;4;4;4;4;4;4;4;5;4;4;5;5;5;4;4;4;4;4;4;4;6;4;4;3;5;4;4;6;4;4;5;5;5;5;5;5;4;4;4;4;4;4;4;5;5;5;5;6;6;5;5;5;4;4;5;5;4;4;4;4;4;4;4;2;3;3;3;2;3;4;4;4;3
kreogen косметика;https://da-vita.ru/catalog/kreogen.html;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;1;3;2;2;2;3;2;3;3;3;3;3;3;1;3;1;1;1;1;2;3;2;2;2;2;2;2;2;2;2;1;2;2;3;3;1;2;2;2;2;1;1;3;2;3;3;3;3;3;3;1;1;1;1;2;1;2;1;1;2;2;3;3;1;3;2;1;3;2;1;3;3;3
mineralium dead sea косметика;https://da-vita.ru/catalog/mineralium.html;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
mineralium косметика;https://da-vita.ru/catalog/mineralium.html;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;3;2;2;2;3;2;3;3;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
mon platin;-;101;95;95;95;94;96;101;100;101;96;101;101;101;101;101;101;101;93;99;95;99;93;101;100;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;81;80;78;82;83;82;83;79;77;77;78;75;69;69;63;30;57;85;85;85;85;82;83;83;79;79;79;80;86;84;82;24;91;84;27;90;88;101;99;96;99;101;101;101;101;101;101;101
mon platin dsm;https://da-vita.ru/catalog/mon-platin-dsm.html;11;11;11;12;12;13;12;12;12;11;10;7;10;11;12;11;12;10;10;11;11;12;10;9;10;10;11;11;11;9;10;9;8;9;9;7;6;8;12;11;8;9;12;12;10;13;73;83;75;75;77;77;75;75;72;66;64;19;24;16;74;71;69;67;67;62;14;22;17;20;15;17;14;17;16;16;15;15;18;18;17;16;17;13;62;58;60;17;65;61;61;9;61;75;73;75;82;8;70;67;67;62;67;68
mon platin dsm купить;https://da-vita.ru/catalog/mon-platin-dsm.html;4;4;4;4;4;4;6;4;4;6;4;4;5;4;4;5;4;4;4;4;4;6;4;4;4;4;4;4;4;4;4;4;6;5;5;3;4;4;4;4;6;3;5;5;4;4;5;5;7;7;7;10;8;10;10;10;10;10;10;9;8;13;12;13;11;15;9;9;8;8;8;7;8;7;8;7;7;8;8;8;7;9;9;9;10;9;8;9;10;9;9;10;9;9;9;9;9;9;9;8;8;8;8;11
mon platin купить;https://da-vita.ru/catalog/mon-platin-dsm.html;6;6;6;6;5;6;6;6;6;6;6;6;6;6;5;6;5;5;6;8;6;8;7;7;6;6;6;7;6;6;6;6;6;6;6;5;6;6;6;6;6;5;7;7;5;4;4;4;5;6;7;10;9;8;9;12;10;7;8;9;11;9;11;13;12;11;16;12;12;12;10;11;13;16;16;17;15;26;25;24;19;20;21;20;19;19;14;25;20;23;17;15;17;18;19;16;16;22;22;18;20;19;20;22
naomi косметика;https://da-vita.ru/catalog/naomi.html;29;24;27;30;27;29;30;28;31;32;28;32;32;32;27;25;28;29;28;29;28;30;34;32;34;31;28;30;31;25;28;28;28;23;25;24;26;25;24;28;38;24;29;25;19;29;16;22;14;18;24;19;21;23;15;15;28;19;20;28;19;14;17;29;25;32;27;25;11;23;23;23;17;18;18;17;18;18;25;22;23;30;29;26;22;28;27;31;23;63;31;31;19;23;19;27;19;26;25;18;17;23;22;22
naomi косметика мертвого моря;https://da-vita.ru/catalog/naomi.html;22;24;23;13;25;27;24;20;23;23;22;21;20;21;22;18;16;18;16;20;20;22;25;24;23;15;16;17;16;17;15;16;22;17;19;10;12;11;12;13;12;13;15;15;11;12;12;12;9;10;14;16;12;16;13;11;11;11;14;11;13;13;12;13;16;16;13;14;14;13;15;18;14;17;16;18;18;20;17;16;18;23;25;19;18;23;19;19;22;21;21;19;20;21;19;19;17;23;20;21;23;21;21;18
premier крем для лица;-;41;42;43;47;40;44;45;49;49;50;50;44;73;74;76;86;86;89;41;43;44;76;75;75;75;60;44;73;80;74;76;75;87;84;84;89;83;87;87;91;91;77;78;76;35;50;38;36;44;53;54;55;76;76;56;58;56;55;57;56;47;43;49;49;51;52;41;50;35;40;76;38;77;88;91;91;91;90;88;88;84;92;92;90;101;87;86;90;101;94;101;101;101;101;101;101;101;101;98;97;88;89;101;101
premier крем израиль;https://da-vita.ru/catalog/premier.html;5;6;7;8;8;9;8;8;9;9;8;8;8;8;6;9;8;5;9;8;9;10;10;8;8;7;7;6;7;8;7;10;9;8;8;8;7;7;8;9;7;8;14;14;8;9;15;8;8;7;6;19;15;17;15;14;15;15;17;7;9;7;18;14;14;16;12;12;10;12;12;14;15;15;16;16;17;16;11;15;13;10;14;10;7;10;9;11;9;12;11;12;12;12;12;9;12;11;11;11;11;12;11;13
premier серум;https://da-vita.ru/catalog/serumi-i-sivorotki-dlya-lica/koncentrirovannii-serum-prestige-dlya-lica-s-vitaminami-e-i-s.html;28;25;27;29;29;33;30;31;29;30;29;28;30;32;30;34;18;31;17;30;19;20;34;35;25;26;27;27;25;27;21;25;30;34;31;25;25;24;31;27;31;27;35;32;24;27;18;17;18;19;25;30;26;33;34;33;48;45;54;45;43;36;40;33;34;34;36;19;17;21;14;18;27;22;22;22;23;27;23;28;25;16;20;17;23;18;16;20;17;16;21;17;15;16;26;18;17;25;25;19;24;20;20;17
sea of spa крем для лица;https://da-vita.ru/catalog/kremi-dlya-lica-sea-of-spa.html;101;99;99;101;101;101;101;101;101;41;43;39;31;43;36;28;15;28;23;26;27;25;50;52;55;46;54;46;42;42;42;46;71;50;70;46;47;42;54;56;54;53;57;56;45;56;36;41;37;34;51;57;49;58;60;45;43;44;45;40;59;53;52;24;59;62;56;56;56;60;53;57;61;53;55;63;61;62;63;61;61;57;60;60;66;66;53;65;55;52;63;66;63;55;55;54;47;55;62;61;38;53;34;36
sea of spa лосьон;https://da-vita.ru/catalog/sea_of_spa.html;9;20;18;20;7;24;19;20;18;17;21;20;16;18;21;23;24;12;21;21;31;20;36;38;37;34;16;35;34;31;36;33;38;35;35;35;43;29;33;34;40;36;44;54;39;38;18;23;19;9;16;31;13;19;26;30;23;23;18;13;21;11;3;18;21;22;25;23;20;13;20;15;21;22;23;26;26;21;20;18;23;15;23;18;13;18;20;22;23;22;20;19;34;19;24;24;20;23;21;21;21;21;18;18
sea of spa маска для лица;https://da-vita.ru/catalog/maski-dlya-lica-sea-of-spa.html;11;12;14;9;9;14;16;14;14;15;15;14;13;12;14;14;10;11;8;8;12;7;7;9;13;10;10;8;9;11;13;12;11;9;13;13;16;10;9;11;9;8;15;15;8;15;12;10;10;15;14;25;15;19;20;14;7;15;26;18;18;10;16;9;10;13;13;8;8;10;7;10;7;6;12;12;11;13;12;12;12;12;12;12;16;20;17;15;17;18;34;19;19;20;17;17;12;17;16;15;21;14;11;15
sea of spa молочко;https://da-vita.ru/catalog/sea_of_spa.html;9;10;7;10;11;10;10;10;11;15;15;14;11;14;8;15;15;10;11;12;21;21;21;23;26;20;17;20;19;18;20;19;27;30;24;21;19;19;20;28;20;13;19;17;8;13;8;8;13;16;16;31;23;28;22;27;37;29;33;26;28;23;23;20;20;16;14;15;22;20;20;16;21;21;24;27;23;25;23;23;21;18;16;20;19;14;22;13;13;13;23;22;13;14;11;13;11;12;14;17;13;14;16;17
sea of spa сыворотка для лица;https://da-vita.ru/catalog/kosmetika-s-l-nyanim-maslom/ukreplyayushchii_serum_dlya_lica_dlya_vseh_tipov_koji_bio_marine.html;14;21;16;15;14;19;15;14;14;15;12;13;15;17;22;21;24;20;14;12;16;13;13;15;22;18;21;19;21;20;22;24;25;27;25;27;28;30;27;18;22;23;49;47;20;16;22;23;21;21;21;42;21;27;20;17;24;25;26;29;18;20;24;13;14;17;18;22;17;25;18;19;17;21;23;23;23;23;23;23;27;15;23;22;17;22;19;19;22;29;23;24;23;20;20;18;24;28;20;25;28;20;21;29
sea of spa тоник;https://da-vita.ru/catalog/kosmetika-s-l-nyanim-maslom/osvejayushchii_tonik_dlya_lica_dlya_vseh_tipov_koji_bio_marine.html;28;29;29;32;31;32;32;30;27;30;30;29;28;32;30;13;14;30;31;34;34;33;27;34;28;37;29;27;28;28;30;34;28;32;31;30;31;29;40;38;44;36;46;43;31;37;29;30;27;31;27;38;27;34;28;32;38;36;41;40;41;33;35;23;35;38;35;42;21;19;17;30;32;38;39;43;41;37;45;44;47;49;49;44;60;60;40;49;47;48;53;49;55;43;36;40;35;37;37;34;37;38;36;39
sea of spa увлажняющий крем;https://da-vita.ru/catalog/uvlajnyayushchie-kremi-sea-of-spa.html;73;44;45;47;46;49;46;44;45;40;40;37;45;48;49;23;31;30;43;44;44;42;44;45;46;40;48;43;42;45;47;47;47;54;43;47;46;43;72;71;67;72;75;75;69;72;69;35;39;71;49;77;51;53;50;49;48;51;49;44;34;42;42;38;43;44;41;46;45;46;42;42;39;48;48;54;50;50;47;49;47;47;50;50;47;43;44;41;46;36;43;38;44;33;44;47;34;48;43;51;50;47;36;47
spa pharma dead sea minerals;https://da-vita.ru/catalog/spa-pharma.html;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;3;3;2;2;2;3;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;2;3;3;2;4
spa pharma mineral gel peeling;https://da-vita.ru/catalog/spa-pharma.html;1;2;1;4;4;4;4;3;4;2;3;4;2;2;4;3;2;1;4;5;6;4;6;6;5;5;6;6;5;5;4;4;4;5;4;2;3;3;5;7;6;7;7;7;4;5;4;4;4;4;6;7;6;6;6;6;6;6;6;6;7;6;7;6;6;6;6;6;6;6;6;5;5;4;4;5;6;5;5;5;4;5;4;4;6;4;8;8;4;8;9;9;3;7;9;7;7;7;9;8;7;7;7;13
spa pharma гель;https://da-vita.ru/catalog/spa-pharma.html;2;2;3;3;2;2;4;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;2;2;4;7;2;2;2;3;2;2;2;6;4;5;3;5;5;4;4;4;4;3;3;4;4;4;5;5;5;3;3;5;4;5;5;5;5;5;5;5;5;5;5;5;5;6;5;6;6;6;6;6;5;5;5;3;5;4;5;4;4;4;4;6
spa pharma косметика израиль;https://da-vita.ru/catalog/spa-pharma.html;4;6;6;6;6;6;6;6;6;6;6;6;5;6;5;5;5;5;5;5;5;6;5;6;5;5;5;5;5;5;5;7;4;4;4;4;4;4;5;6;5;7;7;8;4;5;4;4;4;7;8;9;5;7;8;8;9;9;9;9;8;7;7;8;7;9;8;9;7;6;7;7;7;8;8;8;8;9;9;9;9;6;7;6;6;8;6;8;6;6;6;6;9;9;8;8;8;9;8;11;11;11;10;11
spa pharma купить;https://da-vita.ru/catalog/spa-pharma.html;3;2;3;3;3;4;4;4;4;4;4;4;3;4;3;3;3;3;3;3;3;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;5;5;4;3;3;3;3;5;3;7;4;6;5;6;7;7;7;6;5;5;4;4;4;6;5;6;3;4;5;6;6;7;7;7;6;7;7;7;6;6;7;7;7;7;6;6;7;7;6;7;7;7;7;7;7;7;7;7;7;7;7;7
spa pharma лосьон;https://da-vita.ru/catalog/kosmetika-ot-postakne/uvlajnyayushchaya-emulsiya-dlya-jirnoi-i-problemnoi-koji.html;12;13;13;13;12;13;12;7;10;9;12;12;9;13;10;6;6;12;3;16;18;14;15;20;16;14;26;14;16;14;13;13;13;16;12;11;10;10;14;14;12;14;23;20;12;12;8;11;11;12;17;39;14;20;14;18;27;27;33;28;30;14;25;26;25;26;23;23;20;31;27;23;15;32;34;41;35;41;39;36;35;38;40;12;31;34;37;37;38;39;39;40;37;42;39;42;31;28;36;27;36;27;26;38
spa pharma маска;https://da-vita.ru/catalog/gryazevie-maski-dlya-lica/gryazevaya-maska-dlya-normalnoi-i-jirnoi-koji-lica.html;22;20;26;23;20;26;23;21;22;22;24;21;18;23;26;21;21;24;22;24;24;24;27;29;30;26;26;25;26;32;29;27;30;30;35;24;22;20;56;29;37;36;38;32;31;23;18;19;15;17;19;53;22;35;23;20;22;23;29;23;27;23;29;23;28;38;31;34;25;29;25;32;22;28;28;35;32;38;35;34;32;27;43;44;28;32;32;30;32;33;39;36;38;35;35;22;36;31;31;29;21;26;27;30
spa pharma масло;https://da-vita.ru/catalog/uvlajnenie-i-pitanie-koji-tela-spapharma.html;3;6;4;4;5;5;4;3;3;4;5;5;3;6;2;2;2;2;2;3;4;3;4;5;5;5;5;5;5;6;4;4;5;4;5;5;5;4;5;5;5;7;6;6;3;5;4;7;5;5;5;15;8;11;6;8;11;10;9;11;9;5;8;7;5;4;4;5;3;4;4;4;4;3;5;6;5;9;8;7;4;6;10;9;4;9;14;8;6;7;7;11;6;11;12;9;10;7;9;8;13;12;9;13
spa pharma шампунь;https://da-vita.ru/catalog/gryazevie-shampuni-kondicioneri-i-maski-dlya-volos/gryazevoi-shampun-dlya-vseh-tipov-volos.html;7;7;9;9;7;10;8;8;8;8;8;7;8;10;4;9;9;3;7;7;7;7;7;8;6;7;11;9;9;8;7;9;8;8;7;4;4;9;5;6;10;5;16;10;4;4;2;3;3;3;4;9;4;5;4;4;5;4;5;4;4;2;2;2;2;3;3;4;3;4;3;3;3;3;3;4;4;5;5;3;3;5;5;4;4;4;4;4;4;4;5;2;4;5;4;5;4;4;4;5;5;4;5;5
акне причины;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
альгинатная маска для лица купить;https://da-vita.ru/catalog/alginatnie.html;44;53;51;54;53;55;52;52;52;52;55;54;53;57;43;45;101;54;45;55;101;101;54;54;52;52;89;53;55;58;51;52;53;49;48;46;46;46;51;48;47;48;52;47;47;33;33;31;29;23;44;50;41;50;47;47;41;42;51;48;46;45;39;41;44;40;35;34;34;32;27;36;38;36;41;46;46;41;48;50;48;51;53;48;34;38;79;83;44;43;41;92;38;37;38;34;32;25;32;90;28;36;100;96
альгинатная маска для лица купить интернет магазин;https://da-vita.ru/catalog/alginatnie.html;48;47;49;50;47;50;51;50;49;49;54;53;47;47;47;57;29;101;61;50;52;48;52;53;43;43;45;46;46;39;39;51;47;40;36;36;37;34;37;38;32;34;44;32;29;22;24;24;31;22;37;48;41;46;41;44;44;23;23;31;33;30;29;30;11;37;24;30;25;30;29;26;28;29;31;34;35;36;35;41;38;37;39;38;34;42;38;41;41;43;43;40;39;39;39;22;31;36;29;44;30;41;41;41
альгинатная маска для лица купить цена;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;95;95;97;101;81;101;79;84;78;43;79;81;82;52;57;78;52;78;59;60;57;101;101;101;101;100;101;90;90;91;91;87;85;84;100;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
альгинатная маска на сколько наносить;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
анти акне;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101
антивозрастной крем 60;https://da-vita.ru/catalog/antivozrastnie-kremi-60-let.html;14;14;14;14;13;15;14;14;14;14;16;14;13;13;13;13;12;13;14;14;20;13;14;14;16;23;22;17;14;17;17;17;17;17;17;16;15;17;15;19;17;17;22;17;16;16;16;16;16;16;16;17;16;13;16;17;16;15;16;15;14;13;15;14;15;15;15;14;12;13;13;14;14;15;15;17;17;17;21;16;15;18;19;18;14;16;15;16;16;17;17;16;19;19;15;15;17;16;15;16;15;14;14;15
антивозрастной крем premier;https://da-vita.ru/catalog/antivozrastnaya-kosmetik_premier.html;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;3;2;2;1;1;1;2;2;2;2;2;2;4;2;1;1;3;4;2;3;6;4;1;2;2;2;2;2;2;8;2;4;2;2;2;2;3;2;2;2;2;2;3;2;4;4;3;7;9;5;8;7;8;8;8;8;8;6;6;3;8;4;4;5;4;4;3;7;4;4;5;8;9;5;6;5;6;10;11;9;12;12
антивозрастной крем для век;https://da-vita.ru/catalog/kremi-i-geli-dlya-koji-vokrug-glaz/biox---krem-gel-antivozrastnoi-dlya-koji-vokrug-glaz.html;101;101;101;101;101;101;101;101;101;80;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;79;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;34;31;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;96;99;94;101;101;91;91;92;101;101;98;101;101;101;101;101;101;101;76
антивозрастной крем для кожи вокруг глаз купить;https://da-vita.ru/catalog/antivozrastnie-kremi-dlya-glaz.html;7;7;7;6;6;7;6;6;6;5;5;5;6;6;6;4;4;2;4;4;3;2;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;3;4;3;2;1;2;2;2;1;7;3;4;3;3;3;2;4;3;4;4;2;2;2;4;3;2;2;2;2;2;2;2;3;3;2;2;2;2;2;2;2;2;2;2;2;3;3;5;6;6;3;5;6;2;4;2;5;4;5;2;3;3
антивозрастной крем для лица с какого возраста;-;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;23;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;101;88;101;101;101;101
антивозрастной крем на лето;https://da-vita.ru/beauty-blog/kak-vibrat-krem-na-leto-i-vesnu.html;3;3;3;3;2;5;3;4;4;3;3;4;4;4;4;4;5;6;4;4;4;5;4;4;3;5;5;4;5;5;5;5;4;5;5;5;5;5;6;6;4;4;6;2;5;5;4;2;3;4;3;5;2;2;2;2;2;2;2;2;2;2;2;2;2;2;3;5;3;6;5;5;5;5;5;5;6;5;5;5;5;5;5;5;5;4;4;4;4;5;4;4;4;4;4;4;5;4;3;4;4;5;6;5
антивозрастной крем после 30 лет купить;https://da-vita.ru/catalog/antivozrastnie-kremi-30-let.html;2;4;6;2;3;5;6;5;5;5;5;5;5;5;1;5;5;5;5;1;5;5;5;5;6;5;8;9;7;7;6;6;1;6;5;6;6;8;7;7;6;7;7;8;6;4;2;5;5;5;5;9;5;7;4;3;4;4;7;4;1;5;1;3;4;4;5;5;5;5;5;3;4;3;4;4;4;4;4;3;3;2;2;7;3;2;2;3;6;12;4;8;6;7;6;6;12;7;7;8;6;11;5;5
антивозрастной крем после 35 купить;https://da-vita.ru/catalog/antivozrastnie-kremi.html;5;5;5;5;5;5;5;5;5;4;5;5;4;5;5;4;4;5;5;5;4;5;5;6;5;6;6;6;6;7;7;7;7;7;7;7;7;7;7;7;6;7;7;8;6;6;6;6;6;6;6;7;7;8;8;8;8;7;8;8;9;9;9;9;8;9;10;10;5;5;12;14;9;8;9;10;9;8;10;9;6;6;6;7;6;6;4;5;6;5;7;7;7;8;8;5;6;7;7;3;7;4;3;4
антивозрастной крем после 40 купить;https://da-vita.ru/catalog/antivozrastnie-kremi-40-let.html;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;1;1;2;1;1;2;2;2;1;1;1;1;1;2;1;2;3;2;2;1;2;1;2;1;2;2;3;1;1;2;1;2;2;1;1;1;2;1;1;1;2;2;2;2;2;2;2;2;2;1;1;2;2
антивозрастной крем с какого возраста;https://da-vita.ru/faq/s-kakogo-vozrasta-nujno-pol-zovat-sya-antivozrastnimi-kremami.html;101;24;101;101;101;101;101;101;101;101;98;101;101;101;21;74;64;73;74;74;74;17;69;70;71;66;66;66;69;95;101;101;101;92;94;94;37;93;97;23;15;17;99;98;101;101;101;101;101;101;101;101;101;101;101;101;101;88;83;89;16;18;16;17;21;22;17;24;19;101;101;22;23;25;25;27;27;26;27;27;22;29;31;37;33;63;101;101;35;35;35;35;33;90;90;96;96;25;28;25;24;23;24;25
антивозрастной крем с какого возраста можно пользоваться;https://da-vita.ru/faq/s-kakogo-vozrasta-nujno-pol-zovat-sya-antivozrastnimi-kremami.html;91;87;101;101;101;101;101;101;101;101;101;99;99;100;66;65;66;70;68;69;68;64;64;64;63;59;59;60;21;83;88;88;81;81;77;77;77;74;83;19;18;78;80;87;72;101;101;101;101;68;101;101;101;101;101;101;70;70;65;68;19;18;20;19;19;19;18;18;17;18;19;19;19;19;19;20;20;21;20;20;20;24;20;28;28;28;27;28;28;29;28;26;25;26;22;22;21;22;24;20;20;20;23;25
антивозрастной тональный крем купить;https://da-vita.ru/catalog/antivozrastnie-tonalnie-kremi.html;14;12;15;16;10;16;14;14;14;18;18;19;18;23;10;9;20;19;9;20;20;19;20;20;20;20;20;20;20;19;20;20;20;25;18;18;18;18;18;19;18;17;21;18;15;18;16;16;21;21;20;39;32;37;29;35;35;34;38;31;16;19;10;17;17;23;21;21;19;22;20;28;19;18;18;25;21;22;22;22;18;18;22;22;21;22;21;24;23;32;34;30;31;32;32;40;35;37;36;36;31;40;34;43
